JP 1 関東   東京都
JP 1 関東   神奈川県
JP 1 関東   埼玉県
JP 1 関東   千葉県
JP 1 関東   群馬県
JP 1 関東   茨城県
JP 1 関東   栃木県
JP 1 関東   山梨県
JP 2 東海   静岡県
JP 2 東海   愛知県
JP 2 東海   三重県
JP 2 東海   岐阜県
JP 3 近畿   大阪府
JP 3 近畿   京都府
JP 3 近畿   奈良県
JP 3 近畿   和歌山県
JP 3 近畿   滋賀県
JP 3 近畿   兵庫県
JP 4 中国   広島県
JP 4 中国   岡山県
JP 4 中国   山口県
JP 4 中国   島根県
JP 4 中国   鳥取県
JP 5 四国   徳島県
JP 5 四国   香川県
JP 5 四国   愛媛県
JP 5 四国   高知県
JP 6 九州   福岡県
JP 6 九州   佐賀県
JP 6 九州   長崎県
JP 6 九州   大分県
JP 6 九州   熊本県
JP 6 九州   宮崎県
JP 6 九州   鹿児島県
JP 6 九州   沖縄県
JP 7 東北   青森県
JP 7 東北   秋田県
JP 7 東北   山形県
JP 7 東北   福島県
JP 7 東北   岩手県
JP 7 東北   宮城県
JP 8 北海道 北海道
JP 9 北陸   石川県
JP 9 北陸   福井県
JP 9 北陸   富山県
JP 0 信越   長野県
JP 0 信越   新潟県
